Field Name,Total Count,Unrequired Count
Email,72,62
Name,48,40
Phone,39,34
Message,38,25
*,33,33
Explain the problem in detail:*,15,15
Website,9,8
Summarize the problem in one sentence:*,9,9
"If you can, attach a screenshot of the problem:",9,9
Δ,8,8
"Select ALL that apply: Digital Only Print & Digital Print Only Event Sponsorships By submitting this form, you acknowledge that we may use your personal information for marketing communications.",8,3
Acting/Theatrical Animals/Pets/Nature Anime ASMR Beauty/Cosmetics Collectables Comedy/Entertainment Cosplay Dance Education Family Fashion Finance Food/Cooking Gaming Health/Wellness/Fitness Home and DIY Life Coach/Relationships Lifestyle Luxury Memes/Themed Account Music Photography/Video Politics Sports Tech Thriller/Crime Travel Web3,7,7
Summarize your tip in one sentence:*,6,6
Explain your tip in detail:*,6,6
"Which operating system do you use (e.g., Windows 10, macOS Mojave)?",6,6
"Which browser do you use (e.g., Chrome, Firefox, Safari, Edge, Internet Explorer)?",6,6
Summarize the problem you're experiencing with your DraftKings account:*,6,6
Summarize the situation in one sentence:*,6,6
First,6,6
Last,6,6
Other,6,6
Subject,5,4
>,5,5
Company,5,5
Address Line 2,4,4
City,4,4
File Upload,4,4
Get in touch Newsletter signup Request a media kit,4,2
Why are you contacting us today?,3,3
iOS version:*,3,3
Summarize your pitch suggestions in one sentence:*,3,3
Explain your pitch suggestion in detail:*,3,3
Across the entire SB Nation network,3,3
Targeted to a specific geography:,3,3
Do you currently advertise online?,3,3
When are you planning your next media buy?,3,3
Publication:*,3,3
Editor or site you'd like to contact:,3,3
Explain the situation in detail:*,3,3
What would you like to do?*,3,3
Additional details:*,3,3
Please share additional details:*,3,3
Keep me anonymous,3,3
"By submitting this form, you agree to our community guidelines .",3,3
Street Address,3,3
State,3,3
Single date Date range,3,3
###,2,2
Month,2,2
Day,2,2
Year,2,2
Home Contact News Help/FAQ,2,2
-- please select -- Search Engine Word of Mouth Other Web Site From Product Current Customer E-mail a Friend Catalog Other Trade Shows Referral Code,2,2
$5k-$10k $10k-$25k $25k-$50k $50k-$100k $100k+,2,2
$75k-$150k $150k-$250k $250k-$500k $500k+,2,2
Do not fill in this field:,2,2
Opt in,2,0
ZIP Code,2,2
Description of Promotion or Award*,2,2
Price:,2,2
Comment *,1,0
Full Delivery Address (required for Home Delivery inquiries) *,1,0
What can we help you with? *,1,0
What is our Budget Range? *,1,0
Comment(required),1,0
"By submitting this form, you acknowledge that we may use your personal information for marketing communications.",1,0
I have read and understand,1,0
